,loss,recall,val_loss,val_recall
0,13.109964370727539,0.03125,3.830687999725342,0.2604166666666667
1,0.42707422375679016,0.8020833333333333,4.38440465927124,0.15625
2,0.5028302669525146,0.8333333333333333,4.442088603973389,0.2916666666666667
3,0.025281915441155434,1.0,4.890727519989014,0.2916666666666667
4,0.00037008957588113844,1.0,5.2297892570495605,0.2916666666666667
5,0.00026086351135745645,1.0,5.831485748291016,0.29166666666666663
6,0.0003852624795399606,1.0,6.572699546813965,0.29166666666666663
7,0.00038722340832464397,1.0,7.371357440948486,0.29166666666666663
8,0.00016968452837318182,1.0,8.013120651245117,0.29166666666666663
9,8.847314165905118e-05,1.0,8.699943542480469,0.375
10,4.1974624764407054e-05,1.0,9.159741401672363,0.375
11,0.0001272321242140606,1.0,9.549455642700195,0.375
12,5.976284228381701e-05,1.0,9.79977798461914,0.25
13,0.0001391781697748229,1.0,9.94516372680664,0.25
14,8.668931695865467e-05,1.0,10.043212890625,0.25
15,3.325401121401228e-05,1.0,10.085051536560059,0.25
16,6.778200622648001e-05,1.0,10.143512725830078,0.25
17,1.718723251542542e-05,1.0,10.19961929321289,0.25
18,6.50203219265677e-05,1.0,10.226066589355469,0.25
19,1.8385897419648245e-05,1.0,10.299970626831055,0.25
20,1.811084439395927e-05,1.0,10.266369819641113,0.25
21,2.5947747417376377e-05,1.0,10.235391616821289,0.25
22,9.253311873180792e-06,1.0,10.26198673248291,0.25
23,1.4497689335257746e-05,1.0,10.30960750579834,0.25
24,1.1749003533623181e-05,1.0,10.317662239074707,0.25
25,2.2751457436243072e-05,1.0,10.394279479980469,0.25
26,1.0750569344963878e-05,1.0,10.434503555297852,0.25
27,3.667193232104182e-05,1.0,10.412297248840332,0.25
28,3.805142478086054e-05,1.0,10.460009574890137,0.25
29,1.4855397239443846e-05,1.0,10.45063304901123,0.25
30,9.402330761076882e-06,1.0,10.448690414428711,0.25
31,2.220044916612096e-05,1.0,10.426259994506836,0.25
32,1.5630059351678938e-05,1.0,10.375814437866211,0.25
33,1.6673042409820482e-05,1.0,10.38374137878418,0.25
34,1.4847870261291973e-05,1.0,10.405134201049805,0.25
35,2.2126332623884082e-05,1.0,10.393189430236816,0.25
36,1.1145394637424033e-05,1.0,10.3565673828125,0.25
37,9.961003343050834e-06,1.0,10.339337348937988,0.25
38,1.0720950740505941e-05,1.0,10.31364631652832,0.25
39,2.6945923309540376e-05,1.0,10.393220901489258,0.25
40,1.4758574252482504e-05,1.0,10.368097305297852,0.25
41,7.934504537843168e-06,1.0,10.367369651794434,0.25
42,1.2866570614278316e-05,1.0,10.318909645080566,0.25
43,1.2016972505080048e-05,1.0,10.325733184814453,0.25
44,2.2974905732553452e-05,1.0,10.353619575500488,0.25
45,1.4863156138744671e-05,1.0,10.270682334899902,0.25
46,1.8714425095822662e-05,1.0,10.366843223571777,0.25
47,1.170439827546943e-05,1.0,10.32214069366455,0.25
48,1.3998898793943226e-05,1.0,10.276698112487793,0.25
49,2.0448980649234727e-05,1.0,10.2983980178833,0.25
50,1.6248206520685926e-05,1.0,10.305426597595215,0.25
51,1.4534876754623838e-05,1.0,10.335589408874512,0.25
52,1.0929423297056928e-05,1.0,10.27435302734375,0.25
53,6.258367648115382e-06,1.0,10.285995483398438,0.25
54,2.2959589841775596e-05,1.0,10.280506134033203,0.25
55,6.280687557591591e-06,1.0,10.3143949508667,0.25
56,7.539732905570418e-06,1.0,10.386642456054688,0.25
57,2.704153121158015e-05,1.0,10.392037391662598,0.25
58,2.278883766848594e-05,1.0,10.328412055969238,0.25
59,9.834250704443548e-06,1.0,10.349181175231934,0.25
60,7.666341844014823e-06,1.0,10.282845497131348,0.25
61,6.407384717022069e-06,1.0,10.313507080078125,0.25
62,2.44191505771596e-05,1.0,10.350948333740234,0.25
63,6.951114755793242e-06,1.0,10.31567096710205,0.25
64,9.45435203902889e-06,1.0,10.394644737243652,0.25
65,8.955342309491243e-06,1.0,10.390567779541016,0.25
66,5.222760592005216e-06,1.0,10.344029426574707,0.25
67,2.808836370604695e-06,1.0,10.356133460998535,0.25
68,8.925539987103548e-06,1.0,10.353289604187012,0.25
69,1.3067571671854239e-05,1.0,10.357504844665527,0.25
70,1.4587143596145324e-05,1.0,10.338006973266602,0.25
71,7.733373422524892e-06,1.0,10.354743003845215,0.25
72,4.239297595631797e-06,1.0,10.310526847839355,0.25
73,9.618290278012864e-06,1.0,10.34434700012207,0.25
74,6.14661712461384e-06,1.0,10.356345176696777,0.25
75,9.752442565513775e-06,1.0,10.298112869262695,0.25
76,6.243462848942727e-06,1.0,10.351117134094238,0.25
77,7.5099460445926525e-06,1.0,10.307577133178711,0.25
78,1.3477264474204276e-05,1.0,10.3214750289917,0.25
79,8.627490387880243e-06,1.0,10.36894416809082,0.25
80,1.3141748240741435e-05,1.0,10.329388618469238,0.25
81,8.277353117591701e-06,1.0,10.323454856872559,0.25
82,5.9081949075334705e-06,1.0,10.365832328796387,0.25
83,4.067954705533339e-06,1.0,10.409398078918457,0.25
84,5.282349775370676e-06,1.0,10.461615562438965,0.25
85,6.601070708711632e-06,1.0,10.449591636657715,0.25
86,4.224403710395563e-06,1.0,10.46595287322998,0.25
87,2.0563452380883973e-06,1.0,10.480278015136719,0.25
88,6.615976417378988e-06,1.0,10.403420448303223,0.25
89,1.1145566531922668e-05,1.0,10.373868942260742,0.25
90,6.697949629597133e-06,1.0,10.392056465148926,0.25
91,9.879066055873409e-06,1.0,10.402059555053711,0.25
92,7.0778241934021935e-06,1.0,10.405250549316406,0.25
