,loss,recall,val_loss,val_recall
0,1.2093924283981323,0.21666666666666667,0.9751643538475037,0.26785714285714285
1,0.019971419125795364,1.0,1.038398027420044,0.26785714285714285
2,0.0007114658947102726,1.0,1.1533639430999756,0.26785714285714285
3,6.753409252269194e-05,1.0,1.29366135597229,0.26785714285714285
4,1.5198485016298946e-05,1.0,1.4526615142822266,0.26785714285714285
5,6.0993770603090525e-06,1.0,1.6272090673446655,0.26785714285714285
6,3.2881332572287647e-06,1.0,1.8143638372421265,0.26785714285714285
7,2.056336825262406e-06,1.0,2.011307954788208,0.26785714285714285
8,1.3808300991513534e-06,1.0,2.2156920433044434,0.625
9,9.834709544520592e-07,1.0,2.425854444503784,0.625
10,7.351206932071364e-07,1.0,2.640725612640381,0.625
11,5.662421926899697e-07,1.0,2.8595409393310547,0.625
12,4.470336421036336e-07,1.0,3.08161997795105,0.625
13,3.675611992548511e-07,1.0,3.306213617324829,0.625
14,2.980227122861834e-07,1.0,3.532447576522827,0.625
15,2.582864055966638e-07,1.0,3.7593448162078857,0.625
16,2.1855008469628956e-07,1.0,3.985888719558716,0.625
17,1.8874783336286782e-07,1.0,4.21101713180542,0.625
18,1.6887966580725333e-07,1.0,4.433588027954102,0.625
19,1.4901148404078413e-07,1.0,4.652378559112549,0.625
20,1.3907740026297688e-07,1.0,4.866218090057373,0.625
21,1.1920920428565296e-07,1.0,5.074199199676514,0.625
22,1.09275106296991e-07,1.0,5.275784969329834,0.625
23,1.09275106296991e-07,1.0,5.470747947692871,0.625
24,9.934102251918375e-08,1.0,5.659059047698975,0.625
25,8.940692453052179e-08,1.0,5.840793132781982,0.625
26,8.940692453052179e-08,1.0,6.016097545623779,0.625
27,7.947282654185983e-08,1.0,6.185264587402344,0.625
28,7.947282654185983e-08,1.0,6.348733901977539,0.625
29,6.953872855319787e-08,1.0,6.50697660446167,0.625
30,6.953872855319787e-08,1.0,6.660350799560547,0.625
31,6.953872855319787e-08,1.0,6.80902624130249,0.625
32,6.953872855319787e-08,1.0,6.9529900550842285,0.625
33,5.960462701182223e-08,1.0,7.092079162597656,0.4916666666666667
34,5.960462701182223e-08,1.0,7.226007461547852,0.4916666666666667
35,5.960462701182223e-08,1.0,7.354374885559082,0.4916666666666667
36,5.960462701182223e-08,1.0,7.476742267608643,0.4916666666666667
37,5.960462701182223e-08,1.0,7.592711925506592,0.4916666666666667
38,5.960462701182223e-08,1.0,7.70199728012085,0.4916666666666667
39,5.960462701182223e-08,1.0,7.8044610023498535,0.4916666666666667
